0,0,f
0,1,f
0,2,e
0,3,d
0,4,d
0,5,c
0,6,b
0,7,9
0,8,6
0,9,4
0,a,3
0,b,2
0,c,2
0,d,1
0,e,0
0,f,0
1,0,e
1,1,e
1,2,e
1,3,d
1,4,c
1,5,c
1,6,b
1,7,9
1,8,6
1,9,4
1,a,3
1,b,3
1,c,2
1,d,1
1,e,1
1,f,1
2,0,d
2,1,d
2,2,d
2,3,d
2,4,c
2,5,c
2,6,b
2,7,9
2,8,6
2,9,4
2,a,3
2,b,3
2,c,2
2,d,2
2,e,2
2,f,2
3,0,d
3,1,d
3,2,d
3,3,d
3,4,c
3,5,c
3,6,b
3,7,9
3,8,6
3,9,4
3,a,3
3,b,3
3,c,2
3,d,2
3,e,2
3,f,2
4,0,d
4,1,d
4,2,c
4,3,c
4,4,c
4,5,b
4,6,a
4,7,8
4,8,7
4,9,5
4,a,4
4,b,3
4,c,3
4,d,3
4,e,2
4,f,2
5,0,c
5,1,c
5,2,c
5,3,c
5,4,b
5,5,b
5,6,a
5,7,8
5,8,7
5,9,5
5,a,4
5,b,4
5,c,3
5,d,3
5,e,3
5,f,3
6,0,b
6,1,b
6,2,b
6,3,b
6,4,a
6,5,a
6,6,9
6,7,8
6,8,7
6,9,6
6,a,5
6,b,5
6,c,4
6,d,4
6,e,4
6,f,4
7,0,9
7,1,9
7,2,9
7,3,9
7,4,9
7,5,8
7,6,8
7,7,8
7,8,7
7,9,7
7,a,7
7,b,6
7,c,6
7,d,6
7,e,6
7,f,6
8,0,6
8,1,6
8,2,6
8,3,6
8,4,6
8,5,7
8,6,7
8,7,7
8,8,8
8,9,8
8,a,8
8,b,9
8,c,9
8,d,9
8,e,9
8,f,9
9,0,4
9,1,4
9,2,4
9,3,4
9,4,5
9,5,5
9,6,6
9,7,7
9,8,8
9,9,9
9,a,a
9,b,a
9,c,b
9,d,b
9,e,b
9,f,b
a,0,3
a,1,3
a,2,3
a,3,3
a,4,4
a,5,4
a,6,5
a,7,7
a,8,8
a,9,a
a,a,b
a,b,b
a,c,c
a,d,c
a,e,c
a,f,c
b,0,2
b,1,2
b,2,3
b,3,3
b,4,3
b,5,4
b,6,5
b,7,7
b,8,8
b,9,a
b,a,b
b,b,c
b,c,c
b,d,c
b,e,d
b,f,d
c,0,2
c,1,2
c,2,2
c,3,2
c,4,3
c,5,3
c,6,4
c,7,6
c,8,9
c,9,b
c,a,c
c,b,c
c,c,d
c,d,d
c,e,d
c,f,d
d,0,2
d,1,2
d,2,2
d,3,2
d,4,3
d,5,3
d,6,4
d,7,6
d,8,9
d,9,b
d,a,c
d,b,c
d,c,d
d,d,d
d,e,d
d,f,d
e,0,1
e,1,1
e,2,1
e,3,2
e,4,3
e,5,3
e,6,4
e,7,6
e,8,9
e,9,b
e,a,c
e,b,c
e,c,d
e,d,e
e,e,e
e,f,e
f,0,0
f,1,0
f,2,1
f,3,2
f,4,2
f,5,3
f,6,4
f,7,6
f,8,9
f,9,b
f,a,c
f,b,d
f,c,d
f,d,e
f,e,f
f,f,f
