0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,0,0,0,0,0,0
9,0,0,0,1,1,1
a,0,0,0,1,1,1
b,0,0,0,2,2,2
c,0,0,0,2,2,2
d,0,0,0,3,3,3
e,0,0,0,5,5,5
f,0,0,0,8,8,8
0,1,0,0,0,0,0
1,1,0,0,0,0,0
2,1,0,0,0,0,0
3,1,0,0,0,0,0
4,1,0,0,0,0,0
5,1,0,0,0,0,0
6,1,0,0,0,0,0
7,1,0,0,0,0,0
8,1,0,0,0,1,1
9,1,0,0,1,1,1
a,1,0,0,1,1,1
b,1,0,0,2,2,2
c,1,0,0,2,3,3
d,1,0,0,3,4,4
e,1,0,0,5,6,6
f,1,0,0,8,8,8
0,2,0,0,0,0,0
1,2,0,0,0,0,0
2,2,0,0,0,0,0
3,2,0,0,0,0,0
4,2,0,0,0,0,0
5,2,0,0,0,0,0
6,2,0,0,0,0,0
7,2,0,0,0,0,0
8,2,0,0,0,1,1
9,2,0,0,1,1,1
a,2,0,0,1,2,2
b,2,0,0,2,2,2
c,2,0,0,2,4,4
d,2,0,0,3,5,5
e,2,0,0,5,7,7
f,2,0,0,8,a,a
0,3,0,0,0,0,0
1,3,0,0,0,0,0
2,3,0,0,0,0,0
3,3,0,0,0,0,0
4,3,0,0,0,0,0
5,3,0,0,0,0,0
6,3,0,0,0,0,0
7,3,0,0,0,1,1
8,3,0,0,0,1,1
9,3,0,0,1,2,2
a,3,0,0,1,2,2
b,3,0,0,2,3,3
c,3,0,0,2,4,4
d,3,0,0,3,6,6
e,3,0,0,5,7,7
f,3,0,0,8,a,a
0,4,0,0,0,0,0
1,4,0,0,0,0,0
2,4,0,0,0,0,0
3,4,0,0,0,0,0
4,4,0,0,0,0,0
5,4,0,0,0,0,0
6,4,0,0,0,1,1
7,4,0,0,0,1,1
8,4,0,0,0,2,2
9,4,0,0,1,2,2
a,4,0,0,1,3,3
b,4,0,0,2,4,4
c,4,0,0,2,5,5
d,4,0,0,3,6,6
e,4,0,0,5,8,8
f,4,0,0,8,a,a
0,5,0,0,0,0,0
1,5,0,0,0,0,0
2,5,0,0,0,0,0
3,5,0,0,0,0,0
4,5,0,0,0,0,0
5,5,0,0,0,1,1
6,5,0,0,0,1,1
7,5,0,0,0,1,1
8,5,0,0,0,2,2
9,5,0,0,1,2,2
a,5,0,0,1,3,3
b,5,0,0,2,5,5
c,5,0,0,2,6,6
d,5,0,0,3,7,7
e,5,0,0,5,8,8
f,5,0,0,8,d,d
0,6,0,0,0,0,0
1,6,0,0,0,0,0
2,6,0,0,0,0,0
3,6,0,0,0,0,0
4,6,0,0,0,0,0
5,6,0,0,0,1,1
6,6,0,0,0,1,1
7,6,0,0,0,2,2
8,6,0,0,0,2,2
9,6,0,0,1,3,3
a,6,0,0,1,4,4
b,6,0,0,2,5,5
c,6,0,0,2,6,6
d,6,0,0,3,7,7
e,6,0,0,5,a,a
f,6,0,0,8,d,d
0,7,0,0,0,0,0
1,7,0,0,0,0,0
2,7,0,0,0,0,0
3,7,0,0,0,0,0
4,7,0,0,0,1,1
5,7,0,0,0,1,1
6,7,0,0,0,2,2
7,7,0,0,0,2,2
8,7,0,0,0,3,3
9,7,0,0,1,4,4
a,7,0,0,1,5,5
b,7,0,0,2,6,6
c,7,0,0,2,7,7
d,7,0,0,3,8,8
e,7,0,0,5,a,a
f,7,0,0,8,d,d
0,8,0,0,0,0,0
1,8,0,0,0,0,0
2,8,0,0,0,0,0
3,8,0,0,0,0,0
4,8,0,0,0,1,1
5,8,0,0,0,1,1
6,8,0,0,0,2,2
7,8,0,0,0,2,2
8,8,0,0,0,3,3
9,8,0,0,1,4,4
a,8,0,0,1,5,5
b,8,0,0,2,6,6
c,8,0,0,2,7,7
d,8,0,0,3,8,8
e,8,0,0,5,a,a
f,8,0,0,8,d,d
0,9,0,0,0,0,0
1,9,0,0,0,0,0
2,9,0,0,0,0,0
3,9,0,0,0,1,1
4,9,0,0,0,1,1
5,9,0,0,0,2,2
6,9,0,0,0,2,2
7,9,0,0,0,3,3
8,9,0,0,0,4,4
9,9,0,0,1,5,5
a,9,0,0,1,6,6
b,9,0,0,2,7,7
c,9,0,0,2,8,8
d,9,0,0,3,a,a
e,9,0,0,5,a,a
f,9,0,0,8,d,d
0,a,0,0,0,0,0
1,a,0,0,0,0,0
2,a,0,0,0,0,0
3,a,0,0,0,1,1
4,a,0,0,0,1,1
5,a,0,0,0,2,2
6,a,0,0,0,3,3
7,a,0,0,0,4,4
8,a,0,0,0,5,5
9,a,0,0,1,6,6
a,a,0,0,1,6,6
b,a,0,0,2,7,7
c,a,0,0,2,8,8
d,a,0,0,3,a,a
e,a,0,0,5,d,d
f,a,0,0,8,d,d
0,b,0,0,0,0,0
1,b,0,0,0,0,0
2,b,0,0,0,1,1
3,b,0,0,0,1,1
4,b,0,0,0,2,2
5,b,0,0,0,2,2
6,b,0,0,0,3,3
7,b,0,0,0,4,4
8,b,0,0,0,5,5
9,b,0,0,1,6,6
a,b,0,0,1,7,7
b,b,0,0,2,8,8
c,b,0,0,2,8,8
d,b,0,0,3,a,a
e,b,0,0,5,d,d
f,b,0,0,8,d,d
0,c,0,0,0,0,0
1,c,0,0,0,0,0
2,c,0,0,0,1,1
3,c,0,0,0,2,2
4,c,0,0,0,2,2
5,c,0,0,0,3,3
6,c,0,0,0,4,4
7,c,0,0,0,5,5
8,c,0,0,0,6,6
9,c,0,0,1,7,7
a,c,0,0,1,7,7
b,c,0,0,2,8,8
c,c,0,0,2,a,a
d,c,0,0,3,a,a
e,c,0,0,5,d,d
f,c,0,0,8,d,d
