f,e,d,c,b,b,a,9
6,5,4,4,3,2,1,0
e,e,d,c,b,b,a,9
6,5,4,4,3,2,1,1
d,d,d,c,b,b,a,9
6,5,4,4,3,2,2,2
c,c,c,b,b,a,8,9
6,7,5,4,4,3,3,3
b,b,b,b,b,a,9,9
6,6,5,4,4,4,4,4
a,a,a,8,9,8,8,9
6,8,8,6,7,5,5,5
9,9,9,9,9,9,9,8
7,6,6,6,6,6,6,6
8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,7
7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,8
6,6,6,6,6,6,6,7
8,9,9,9,9,9,9,9
5,5,5,7,6,7,7,6
9,7,7,9,8,a,a,a
4,4,4,4,4,5,6,6
9,9,a,b,b,b,b,b
3,3,3,4,4,5,7,6
9,8,a,b,b,c,c,c
2,2,2,3,4,4,5,6
9,a,b,b,c,d,d,d
1,1,2,3,4,4,5,6
9,a,b,b,c,d,e,e
0,1,2,3,4,4,5,6
9,a,b,b,c,d,e,f
