f,e,e,d,c,a,9,8
7,6,5,3,2,1,1,0
e,d,c,b,9,8,8,8
8,8,7,6,4,3,2,1
e,c,b,9,8,8,8,8
8,8,8,7,6,4,3,1
d,b,9,8,8,8,8,8
8,8,8,8,8,6,4,2
c,9,8,8,8,8,8,8
8,8,8,8,8,7,6,3
a,8,8,8,8,8,8,8
8,8,8,8,8,8,7,5
9,8,8,8,8,8,8,8
8,8,8,8,8,8,8,6
8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,7
7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,8
6,7,7,7,7,7,7,7
7,7,7,7,7,7,7,9
5,7,7,7,7,7,7,7
7,7,7,7,7,7,8,a
3,6,7,7,7,7,7,7
7,7,7,7,7,8,9,c
2,4,6,7,7,7,7,7
7,7,7,7,7,9,b,d
1,3,4,6,7,7,7,7
7,7,7,8,9,b,c,e
1,2,3,4,6,7,7,7
7,7,8,9,b,c,d,e
0,1,1,2,3,5,6,7
8,9,a,c,d,e,e,f
