0,0,f
0,1,f
0,2,e
0,3,d
0,4,c
0,5,b
0,6,a
0,7,8
0,8,7
0,9,5
0,a,4
0,b,3
0,c,2
0,d,1
0,e,0
0,f,0
1,0,f
1,1,e
1,2,e
1,3,d
1,4,c
1,5,b
1,6,a
1,7,8
1,8,7
1,9,5
1,a,4
1,b,3
1,c,2
1,d,1
1,e,1
1,f,0
2,0,e
2,1,e
2,2,d
2,3,d
2,4,c
2,5,b
2,6,a
2,7,8
2,8,7
2,9,5
2,a,4
2,b,3
2,c,2
2,d,2
2,e,1
2,f,1
3,0,d
3,1,d
3,2,d
3,3,c
3,4,c
3,5,b
3,6,a
3,7,8
3,8,7
3,9,5
3,a,4
3,b,3
3,c,3
3,d,2
3,e,2
3,f,2
4,0,c
4,1,c
4,2,c
4,3,c
4,4,b
4,5,b
4,6,a
4,7,8
4,8,7
4,9,5
4,a,4
4,b,4
4,c,3
4,d,3
4,e,3
4,f,3
5,0,b
5,1,b
5,2,b
5,3,b
5,4,b
5,5,a
5,6,9
5,7,8
5,8,7
5,9,6
5,a,5
5,b,4
5,c,4
5,d,4
5,e,4
5,f,4
6,0,a
6,1,a
6,2,a
6,3,a
6,4,9
6,5,9
6,6,8
6,7,8
6,8,7
6,9,7
6,a,6
6,b,6
6,c,5
6,d,5
6,e,5
6,f,5
7,0,8
7,1,8
7,2,8
7,3,8
7,4,8
7,5,8
7,6,8
7,7,8
7,8,7
7,9,7
7,a,7
7,b,7
7,c,7
7,d,7
7,e,7
7,f,7
8,0,7
8,1,7
8,2,7
8,3,7
8,4,7
8,5,7
8,6,7
8,7,7
8,8,8
8,9,8
8,a,8
8,b,8
8,c,8
8,d,8
8,e,8
8,f,8
9,0,5
9,1,5
9,2,5
9,3,5
9,4,6
9,5,6
9,6,7
9,7,7
9,8,8
9,9,8
9,a,9
9,b,9
9,c,a
9,d,a
9,e,a
9,f,a
a,0,4
a,1,4
a,2,4
a,3,4
a,4,4
a,5,5
a,6,6
a,7,7
a,8,8
a,9,9
a,a,a
a,b,b
a,c,b
a,d,b
a,e,b
a,f,b
b,0,3
b,1,3
b,2,3
b,3,3
b,4,4
b,5,4
b,6,5
b,7,7
b,8,8
b,9,a
b,a,b
b,b,b
b,c,c
b,d,c
b,e,c
b,f,c
c,0,2
c,1,2
c,2,2
c,3,3
c,4,3
c,5,4
c,6,5
c,7,7
c,8,8
c,9,a
c,a,b
c,b,c
c,c,c
c,d,d
c,e,d
c,f,d
d,0,1
d,1,1
d,2,2
d,3,2
d,4,3
d,5,4
d,6,5
d,7,7
d,8,8
d,9,a
d,a,b
d,b,c
d,c,d
d,d,d
d,e,e
d,f,e
e,0,0
e,1,1
e,2,1
e,3,2
e,4,3
e,5,4
e,6,5
e,7,7
e,8,8
e,9,a
e,a,b
e,b,c
e,c,d
e,d,e
e,e,e
e,f,f
f,0,0
f,1,0
f,2,1
f,3,2
f,4,3
f,5,4
f,6,5
f,7,7
f,8,8
f,9,a
f,a,b
f,b,c
f,c,d
f,d,e
f,e,f
f,f,f
