CNU_M2_Iteration, #NonZero_Delta, #DeltaArrayPage(reduced refresh cycle)
1,40,23
2,42,23
3,34,21
4,12,8
5,21,13
6,32,18
7,13,9
8,15,10
9,16,10
10,29,16
11,22,14
12,26,16
13,29,18
14,22,14
15,37,21
16,24,16
17,38,22
18,25,16
19,34,19
20,41,22
21,15,9
22,16,10
23,5,5
24,9,6
25,49,27
26,48,26
27,31,17
28,36,21
29,46,27
30,39,22
31,21,13
32,46,25
33,38,22
34,17,11
35,17,12
36,35,23
37,28,17
38,20,13
39,16,11
40,44,23
41,40,22
42,30,17
43,31,20
44,38,23
45,6,5
46,6,4
47,12,7
48,12,8
49,16,10
Min_reducedRefreshCycle,Max_reducedRefreshCycle,Mean_reducedRefreshCycle
4,27,16
