CNU_M3_Iteration, #NonZero_Delta, #DeltaArrayPage(reduced refresh cycle)
1,25,15
2,14,10
3,12,8
4,13,9
5,3,3
6,36,20
7,19,13
8,42,24
9,21,16
10,30,19
11,15,11
12,29,17
13,45,25
14,26,16
15,41,22
16,25,14
17,17,11
18,12,7
19,35,22
20,32,19
21,57,30
22,30,17
23,15,13
24,15,13
25,39,22
26,35,20
27,19,12
28,29,16
29,29,18
30,28,16
31,20,13
32,18,10
33,35,20
34,45,24
35,40,22
36,14,9
37,18,11
38,28,16
39,11,9
40,26,16
41,34,19
42,11,7
43,18,10
44,46,25
45,16,9
46,7,4
47,11,7
48,23,13
49,21,13
Min_reducedRefreshCycle,Max_reducedRefreshCycle,Mean_reducedRefreshCycle
3,30,15
