CNU_M1_Iteration, #NonZero_Delta, #DeltaArrayPage(reduced refresh cycle)
1,19,12
2,40,29
3,47,36
4,62,37
5,3,3
6,47,32
7,19,17
8,10,8
9,17,13
10,40,34
11,28,23
12,58,37
13,28,22
14,69,39
15,55,37
16,69,43
17,15,12
18,64,40
19,62,39
20,37,25
21,48,33
22,40,27
23,39,30
24,47,31
25,58,39
26,33,22
27,32,25
28,38,29
29,35,27
30,62,41
31,88,51
32,73,39
33,79,44
34,39,23
35,48,30
36,81,45
37,47,32
38,49,31
39,70,42
40,33,25
41,61,39
42,76,43
43,38,30
44,44,27
45,48,32
46,45,30
47,60,35
48,70,42
49,34,25
Min_reducedRefreshCycle,Max_reducedRefreshCycle,Mean_reducedRefreshCycle
3,51,30
