CNU_M1_Iteration, #NonZero_Delta, #DeltaArrayPage(reduced refresh cycle)
1,0,0
2,4,4
3,34,20
4,18,11
5,35,21
6,16,13
7,24,15
8,4,4
9,15,10
10,15,9
11,44,25
12,33,19
13,28,20
14,44,24
15,36,21
16,37,21
17,36,23
18,16,9
19,20,13
20,21,14
21,27,16
22,24,13
23,19,13
24,31,17
25,50,27
26,58,30
27,54,28
28,52,27
29,20,13
30,20,13
31,4,4
32,2,1
33,51,28
34,36,23
35,25,17
36,25,17
37,18,13
38,38,22
39,31,18
40,47,26
41,33,20
42,19,13
43,51,27
44,47,26
45,7,6
46,10,6
47,8,6
48,14,8
49,10,6
Min_reducedRefreshCycle,Max_reducedRefreshCycle,Mean_reducedRefreshCycle
0,30,15
