0,0,1,1
2,3,5,7
8,a,c,d
e,e,f,f

0,0,0,1
3,4,5,7
2,3,5,7
8,a,c,d
e,0,f,f
f,f,e,d
c,b,c,d
e,e,f,f

2,1,0,0
d,d,d,c
b,a,9,8
8,a,c,d
e,0,f,f
f,f,e,d
c,b,a,8
7,5,4,3

7,6,0,0
d,d,d,c
b,a,9,8
8,a,c,d
7,6,5,4
3,2,2,2
c,c,c,b
b,a,9,8

7,6,5,4
4,3,3,3
b,b,b,a
a,9,9,8
7,6,6,5
3,2,2,2
c,c,c,b
b,a,9,8

9,9,8,8
7,7,6,6
5,5,b,a
a,9,9,8
7,6,6,5
3,2,2,2
5,4,4,4
a,a,a,a

9,9,8,8
7,7,6,6
5,5,5,5
9,9,9,9
9,9,8,8
7,7,6,6
6,6,6,6
a,a,a,a

9,9,9,9
8,8,8,8
7,7,7,7
6,6,6,6
8,8,8,8
7,7,6,6
6,6,6,6
a,a,a,a

7,7,7,7
8,8,8,8
7,7,7,7
6,6,6,6
8,8,8,8
8,8,8,8
7,7,7,7
7,7,7,7

