f,f,e,d,c,b,9,8
7,6,4,3,2,1,0,0
e,e,e,d,c,b,9,8
7,6,4,3,2,1,1,1
d,d,d,c,c,b,9,8
7,6,4,3,3,2,2,2
c,c,c,c,b,a,9,8
7,6,5,4,3,3,3,3
c,c,c,c,b,a,9,8
7,6,5,4,3,3,3,3
b,b,b,b,a,9,8,8
7,7,6,5,4,4,4,4
9,9,9,9,9,8,8,8
7,7,7,6,6,6,6,6
8,8,8,8,8,8,8,8
7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7
8,8,8,8,8,8,8,8
6,6,6,6,6,7,7,7
8,8,8,9,9,9,9,9
4,4,4,4,5,6,7,7
8,8,9,a,b,b,b,b
3,3,3,3,4,5,6,7
8,9,a,b,c,c,c,c
3,3,3,3,4,5,6,7
8,9,a,b,c,c,c,c
2,2,2,3,3,4,6,7
8,9,b,c,c,d,d,d
1,1,1,2,3,4,6,7
8,9,b,c,d,e,e,e
0,0,1,2,3,4,6,7
8,9,b,c,d,e,f,f
